category,orders,line_items,total_revenue,avg_line_item_value,avg_review_score
health_beauty,8647,9465,1412089.53,149.19,4.19
watches_gifts,5495,5859,1264333.12,215.79,4.07
bed_bath_table,9272,10953,1225209.26,111.86,3.92
sports_leisure,7530,8431,1118256.91,132.64,4.17
computers_accessories,6530,7644,1032723.77,135.10,3.99
furniture_decor,6307,8160,880329.92,107.88,3.96
housewares,5743,6795,758392.25,111.61,4.11
cool_stuff,3559,3718,691680.89,186.04,4.19
auto,3810,4140,669454.75,161.70,4.12
garden_tools,3448,4268,567145.68,132.88,4.08
