month,orders,line_items,total_revenue,product_sales,freight
2016-09,2,5,279.69,207.86,71.83
2016-10,290,342,51354.52,44507.30,6847.22
2016-12,1,1,19.62,10.90,8.72
2017-01,787,953,136943.46,120098.27,16845.19
2017-02,1717,1934,283500.07,244919.65,38580.42
2017-03,2617,2975,425617.96,368341.32,57276.64
2017-04,2376,2659,405669.15,353673.08,51996.07
2017-05,3640,4106,582710.83,503159.19,79551.64
2017-06,3205,3571,499652.24,429916.61,69735.63
2017-07,3946,4493,578753.73,492287.30,86466.43
2017-08,4272,4882,661903.52,568245.79,93657.73
2017-09,4227,4815,717102.72,621415.91,95686.81
2017-10,4547,5300,764756.03,660179.62,104576.41
2017-11,7421,8626,1172191.68,1003862.14,168329.54
2017-12,5618,6300,861526.77,742183.79,119342.98
2018-01,7187,8173,1101920.01,945456.29,156463.72
2018-02,6624,7597,979486.16,837895.43,141590.73
2018-03,7168,8195,1152656.99,981051.06,171605.93
2018-04,6919,7957,1156248.89,993592.98,162655.91
2018-05,6833,7898,1145686.46,992871.75,152814.71
2018-06,6145,7060,1020381.90,863265.53,157116.37
2018-07,6233,7039,1039783.58,878044.27,161739.31
2018-08,6421,7216,996973.51,848860.10,148113.41
2018-09,1,1,166.46,145.00,21.46
