seller_id,seller_city,seller_state,orders,line_items,total_revenue,avg_item_value
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1124,1148,247007.06,215.16
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,973,1355,237806.69,175.50
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1772,1949,231220.43,118.64
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,348,400,230797.02,576.99
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,578,579,200833.50,346.86
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1311,1548,184706.78,119.32
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,319,322,171973.55,534.08
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,910,1420,171924.96,121.07
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1145,1155,160278.52,138.77
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1261,1472,156606.48,106.39
